Mon Aug 29 11:37:05 2016,REST Service UP alert is generated at '\2016-08-29 05:45:39'\ and displyed in UI,PASSED, ,Mon Aug 29 11:37:05 2016
Mon Aug 29 11:37:05 2016,Site Site1 Creation,PASSED,,Mon Aug 29 11:37:06 2016
Mon Aug 29 11:37:06 2016,Site Site2 Creation,PASSED,,Mon Aug 29 11:37:06 2016
Mon Aug 29 11:37:06 2016,Site Site3 Creation,PASSED,,Mon Aug 29 11:37:07 2016
Mon Aug 29 11:37:12 2016,HACluster created successfully,PASSED,,Mon Aug 29 11:37:13 2016
Mon Aug 29 11:37:13 2016,Node Node1 Import,PASSED,,Mon Aug 29 11:38:06 2016
Mon Aug 29 11:38:16 2016,Pool PoolRaidz2 Creation ,PASSED,,Mon Aug 29 11:38:27 2016
Mon Aug 29 11:38:27 2016,VDev with DiskGroupType log Creation,PASSED,,Mon Aug 29 11:38:38 2016
Mon Aug 29 11:38:38 2016,VDev with DiskGroupType spare Creation,PASSED,,Mon Aug 29 11:38:48 2016
Mon Aug 29 11:38:48 2016,VDev with DiskGroupType cache Creation,PASSED,,Mon Aug 29 11:38:58 2016
Mon Aug 29 11:39:17 2016,Pool PoolMirror Creation ,PASSED,,Mon Aug 29 11:39:29 2016
Mon Aug 29 11:39:29 2016,VDev with DiskGroupType log%20mirror Creation,PASSED,,Mon Aug 29 11:39:40 2016
Mon Aug 29 11:39:40 2016,VDev with DiskGroupType spare Creation,PASSED,,Mon Aug 29 11:39:50 2016
Mon Aug 29 11:39:50 2016,VDev with DiskGroupType cache Creation,PASSED,,Mon Aug 29 11:40:00 2016
Mon Aug 29 11:40:14 2016,Pool PoolRaidz1 Creation ,PASSED,,Mon Aug 29 11:40:38 2016
Mon Aug 29 11:40:39 2016,VDev with DiskGroupType raidz1 Creation,PASSED,,Mon Aug 29 11:41:01 2016
Mon Aug 29 11:41:01 2016,VDev with DiskGroupType log Creation,PASSED,,Mon Aug 29 11:41:11 2016
Mon Aug 29 11:41:11 2016,VDev with DiskGroupType spare Creation,PASSED,,Mon Aug 29 11:41:21 2016
Mon Aug 29 11:41:21 2016,VDev with DiskGroupType cache Creation,PASSED,,Mon Aug 29 11:41:32 2016
Mon Aug 29 11:41:32 2016,Account Account1 creation is,PASSED,,Mon Aug 29 11:41:33 2016
Mon Aug 29 11:41:32 2016,AuthGroup Account1AUTH creation is,PASSED,,Mon Aug 29 11:41:35 2016
Mon Aug 29 11:41:32 2016,Cifs User Account1user1 creation is,PASSED,,Mon Aug 29 11:41:35 2016
Mon Aug 29 11:41:32 2016,Cifs User Account1user2 creation is,PASSED,,Mon Aug 29 11:41:35 2016
Mon Aug 29 11:41:37 2016,Account Account2 creation is,PASSED,,Mon Aug 29 11:41:37 2016
Mon Aug 29 11:41:37 2016,AuthGroup Account2AUTH creation is,PASSED,,Mon Aug 29 11:41:39 2016
Mon Aug 29 11:41:41 2016,Account Account3 creation is,PASSED,,Mon Aug 29 11:41:41 2016
Mon Aug 29 11:41:41 2016,AuthGroup Account3AUTH creation is,PASSED,,Mon Aug 29 11:41:43 2016
Mon Aug 29 11:41:45 2016,TSM RTSM1 Creation,PASSED,,Mon Aug 29 11:42:39 2016
Mon Aug 29 11:42:40 2016,Successfully changed NFS threads to 8,PASSED,,Mon Aug 29 11:42:42 2016
Mon Aug 29 11:42:42 2016,ISCSIVolume RTSM1ISCSI1 Creation,PASSED,,Mon Aug 29 11:43:05 2016
Mon Aug 29 11:43:07 2016,NFSVolume RTSM1NFS1 Creation,PASSED,,Mon Aug 29 11:43:27 2016
Mon Aug 29 11:43:28 2016,CIFSVolume RTSM1CIFS1 Creation,PASSED,,Mon Aug 29 11:44:03 2016
Mon Aug 29 11:44:05 2016,Site Admin abcd@cb.com Creation Verification from Devman,PASSED,,Mon Aug 29 11:44:07 2016
Mon Aug 29 11:44:07 2016,Site Admin xyz@cb.com Creation Verification from Devman,PASSED,,Mon Aug 29 11:44:09 2016
Mon Aug 29 11:44:10 2016,Site Admin  abcd@cb.com Access Verification from Devman,PASSED,,Mon Aug 29 11:44:11 2016
Mon Aug 29 11:44:11 2016,Site Admin  xyz@cb.com Access Verification from Devman,PASSED,,Mon Aug 29 11:44:12 2016
Mon Aug 29 11:44:12 2016,Site Admin abcd@cb.com Deletion Verification from Devman,PASSED,,Mon Aug 29 11:44:12 2016
Mon Aug 29 11:44:12 2016,Site Admin xyz@cb.com Deletion Verification from Devman,PASSED,,Mon Aug 29 11:44:12 2016
Mon Aug 29 11:44:12 2016,Site Admin abcd@cb.com Creation Verification from Devman,PASSED,,Mon Aug 29 11:44:13 2016
Mon Aug 29 11:44:14 2016,Site Admin xyz@cb.com Creation Verification from Devman,PASSED,,Mon Aug 29 11:44:15 2016
Mon Aug 29 11:44:16 2016,Site Admin  abcd@cb.com Access Verification from Devman,PASSED,,Mon Aug 29 11:44:16 2016
